Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[10]    21.9    3.08    0.00 1009800         __math_MOD_lubksb [10]
-----------------------------------------------
                0.31    2.25  220000/220000      conduct_ [9]
[11]    18.2    0.31    2.25  220000         thav18_ [11]
                0.29    1.96 14575473/14575473     thavi18_ [12]
-----------------------------------------------
                0.29    1.96 14575473/14575473     thav18_ [11]
[12]    16.0    0.29    1.96 14575473         thavi18_ [12]
                0.67    1.29 14574273/14574273     coul19_ [13]
-----------------------------------------------
                0.67    1.29 14574273/14574273     thavi18_ [12]
[13]    13.9    0.67    1.29 14574273         coul19_ [13]
                0.54    0.75 14574273/14574273     coulan3_ [16]
-----------------------------------------------
                0.00    0.00       1/5006        binit_ [88]
                1.76    0.00    5005/5006        __magnetic_evolution_MOD_magnetic_evol [5]
[14]    12.5    1.76    0.00    5006         curl_phi_ [14]
-----------------------------------------------
                1.31    0.00   19800/19800       __math_MOD_getugam [4]
[15]     9.3    1.31    0.00   19800         __math_MOD_ludcmp [15]
-----------------------------------------------
                0.54    0.75 14574273/14574273     coul19_ [13]
[16]     9.2    0.54    0.75 14574273         coulan3_ [16]
                0.75    0.00 29148346/33018346     expint_ [17]
-----------------------------------------------
                0.03    0.00 1050000/33018346     condin_ [40]
                0.07    0.00 2820000/33018346     coulan2_ [35]
                0.75    0.00 29148346/33018346     coulan3_ [16]
[17]     6.0    0.85    0.00 33018346         expint_ [17]
-----------------------------------------------
                0.75    0.00    3003/3003        __magnetic_evolution_MOD_magnetic_evol [5]
[18]     5.3    0.75    0.00    3003         curl_pol_ [18]
-----------------------------------------------
                0.03    0.68 1980000/1980000     emiss_ [20]
[19]     5.0    0.03    0.68 1980000         q3_ [19]
                0.15    0.00 1980000/1980000     qsynchro_ [31]
                0.11    0.00 1980000/1980000     qplasma_ [36]
                0.09    0.00 1980000/4220000     eff_mass_ [28]
                0.06    0.00 1980000/1980000     qpair_ [42]
                0.02    0.03 1980000/1980000     qdurca_ [52]
                0.01    0.03 1980000/1980000     qmurca_ [55]
                0.03    0.01 1980000/1980000     qbnn_ [56]
                0.02    0.02 1980000/1980000     qbpp_ [57]
                0.01    0.02 1980000/1980000     qcpbf_co_ [61]
                0.02    0.01 1980000/1980000     qcpbf_cr_ [62]
                0.01    0.01 1980000/1980000     qbnp_ [67]
                0.01    0.00 1980000/1980000     qepbrems_ [71]
                0.01    0.00 1980000/1980000     qeabrems_ [70]
-----------------------------------------------
                0.00    0.71     100/100         MAIN__ [1]
[20]     5.0    0.00    0.71     100         emiss_ [20]
                0.03    0.68 1980000/1980000     q3_ [19]
-----------------------------------------------
                0.02    0.67     100/100         MAIN__ [1]
[21]     4.9    0.02    0.67     100         cvtot_ [21]
                0.01    0.66  995000/995000      cv_func_ [22]
-----------------------------------------------
                0.01    0.66  995000/995000      cvtot_ [21]
[22]     4.8    0.01    0.66  995000         cv_func_ [22]
                0.01    0.55  370000/370000      eosmag_ [25]
                0.05    0.00  995000/4220000     eff_mass_ [28]
                0.02    0.01  995000/995000      ccvfn_ [60]
                0.00    0.02  625000/625000      ccvfp_ [68]
                0.01    0.00  625000/625000      ccvfe_ [77]
-----------------------------------------------
                0.00    0.64  220000/220000      conduct_ [9]
[23]     4.5    0.00    0.64  220000         chempot_ [23]
                0.10    0.54  108649/108649      denrfit_ [24]
-----------------------------------------------
                0.10    0.54  108649/108649      chempot_ [23]
[24]     4.5    0.10    0.54  108649         denrfit_ [24]
                0.54    0.00 13563278/13563278     fitfermi_ [26]
-----------------------------------------------
                0.01    0.55  370000/370000      cv_func_ [22]
[25]     4.0    0.01    0.55  370000         eosmag_ [25]
                0.07    0.31  370000/370000      eosfim12_ [27]
                0.03    0.14  370000/370000      chemag8_ [30]
                0.00    0.00  340022/370000      spinion_ [93]
                0.00    0.00   29978/29978       magnion_ [101]
-----------------------------------------------
                0.54    0.00 13563278/13563278     denrfit_ [24]
[26]     3.8    0.54    0.00 13563278         fitfermi_ [26]
-----------------------------------------------
                0.07    0.31  370000/370000      eosmag_ [25]
[27]     2.7    0.07    0.31  370000         eosfim12_ [27]
                0.15    0.00  370000/370000      excorm_ [32]
                0.02    0.11  340022/340022      fharmag_ [34]
                0.02    0.00  340022/340022      fscrsol8_ [66]
                0.01    0.00  340022/340022      anharm8_ [79]
                0.00    0.00   29978/29978       fscrliq8_ [100]
                0.00    0.00   29978/29978       fition9_ [99]
                0.00    0.00   29978/29978       qdmag_ [102]
-----------------------------------------------
                0.05    0.00  995000/4220000     cv_func_ [22]
                0.06    0.00 1245000/4220000     en_cond_ [33]
                0.09    0.00 1980000/4220000     q3_ [19]
[28]     1.4    0.20    0.00 4220000         eff_mass_ [28]
-----------------------------------------------
                0.01    0.16  525000/525000      potekhin2019_ [7]
[29]     1.2    0.01    0.16  525000         condegin_ [29]
                0.03    0.07  525000/525000      coulin_ [38]
                0.01    0.05  360000/360000      coul99i_ [46]
                0.00    0.00   17220/237220      taueesy_ [95]
-----------------------------------------------
                0.03    0.14  370000/370000      eosmag_ [25]
[30]     1.2    0.03    0.14  370000         chemag8_ [30]
                0.06    0.03  370000/370000      chemfit7_ [39]
                0.04    0.01  357077/370000      elect11b_ [50]
                0.00    0.00  370000/370000      elect11_ [87]
-----------------------------------------------
                0.15    0.00 1980000/1980000     q3_ [19]
[31]     1.1    0.15    0.00 1980000         qsynchro_ [31]
                0.00    0.00 1980000/4480000     kfermi_ [69]
-----------------------------------------------
                0.15    0.00  370000/370000      eosfim12_ [27]
[32]     1.1    0.15    0.00  370000         excorm_ [32]
                0.00    0.00  204622/204622      darcth_ [96]
-----------------------------------------------
                0.06    0.09 1245000/1245000     difdrv_ [6]
[33]     1.1    0.06    0.09 1245000         en_cond_ [33]
                0.06    0.00 1245000/4220000     eff_mass_ [28]
                0.02    0.00 1122650/1122650     zfun_ [64]
                0.01    0.00 1122650/8411980     v1_ [41]
                0.00    0.00 1122650/1122650     rfun_ [91]
-----------------------------------------------
                0.02    0.11  340022/340022      eosfim12_ [27]
[34]     0.9    0.02    0.11  340022         fharmag_ [34]
                0.05    0.06  340022/340022      hlmag_ [37]
-----------------------------------------------
                0.02    0.03  360000/885000      coul99i_ [46]
                0.03    0.04  525000/885000      coulin_ [38]
[35]     0.9    0.05    0.07  885000         coulan2_ [35]
                0.07    0.00 2820000/33018346     expint_ [17]
-----------------------------------------------
                0.11    0.00 1980000/1980000     q3_ [19]
[36]     0.8    0.11    0.00 1980000         qplasma_ [36]
                0.00    0.00 1980000/4480000     kfermi_ [69]
-----------------------------------------------
                0.05    0.06  340022/340022      fharmag_ [34]
[37]     0.8    0.05    0.06  340022         hlmag_ [37]
                0.06    0.00  340022/340022      hlfit12_ [43]
-----------------------------------------------
                0.03    0.07  525000/525000      condegin_ [29]
[38]     0.7    0.03    0.07  525000         coulin_ [38]
                0.03    0.04  525000/885000      coulan2_ [35]
-----------------------------------------------
                0.06    0.03  370000/370000      chemag8_ [30]
[39]     0.6    0.06    0.03  370000         chemfit7_ [39]
                0.03    0.00  370000/370000      ferinv7_ [59]
-----------------------------------------------
                0.03    0.06  525000/525000      potekhin2019_ [7]
[40]     0.6    0.03    0.06  525000         condin_ [40]
                0.03    0.00  525000/525000      hlfit8_ [58]
                0.03    0.00 1050000/33018346     expint_ [17]
-----------------------------------------------
                0.00    0.00  218166/8411980     ccvfn_ [60]
                0.00    0.00  436332/8411980     qcpbf_cr_ [62]
                0.00    0.00  436332/8411980     qbnn_ [56]
                0.00    0.00  563500/8411980     ccvfp_ [68]
                0.01    0.00 1122650/8411980     en_cond_ [33]
                0.01    0.00 1127000/8411980     qdurca_ [52]
                0.01    0.00 1127000/8411980     qcpbf_co_ [61]
