Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                                                 <spontaneous>
[1]     99.8    0.00   38.56                 MAIN__ [1]
                0.13   18.64     100/100         tevol_ [2]
                0.15   15.40     100/100         difdrv_ [5]
                0.98    2.10    1001/1001        bevol_ [18]
                0.01    0.65     100/100         emiss_ [21]
                0.00    0.49     100/100         cvtot_ [24]
                0.01    0.00      10/10          output_ [82]
                0.00    0.00       1/1           binit_ [88]
                0.00    0.00       1/1002        bmodulus_ [49]
                0.00    0.00    1001/1001        pevol_ [116]
                0.00    0.00     100/100         fluxesb_ [118]
                0.00    0.00       1/1           mdgeom_ [126]
                0.00    0.00       1/1           input_ [124]
                0.00    0.00       1/1           legpol_ [125]
                0.00    0.00       1/1           bgrid_ [120]
-----------------------------------------------
                0.13   18.64     100/100         MAIN__ [1]
[2]     48.6    0.13   18.64     100         tevol_ [2]
                0.56   18.08     100/100         __math_MOD_solvtb [3]
-----------------------------------------------
                0.56   18.08     100/100         tevol_ [2]
[3]     48.3    0.56   18.08     100         __math_MOD_solvtb [3]
                0.31   17.77   18800/18800       __math_MOD_getugam [4]
-----------------------------------------------
                0.31   17.77   18800/18800       __math_MOD_solvtb [3]
[4]     46.8    0.31   17.77   18800         __math_MOD_getugam [4]
               12.65    0.00 1898800/1898800     __math_MOD_lubksb [12]
                5.12    0.00   18800/18800       __math_MOD_ludcmp [15]
-----------------------------------------------
                0.15   15.40     100/100         MAIN__ [1]
[5]     40.3    0.15   15.40     100         difdrv_ [5]
                0.03   15.37 3780000/3780000     tensor_ [6]
-----------------------------------------------
                0.03   15.37 3780000/3780000     difdrv_ [5]
[6]     39.9    0.03   15.37 3780000         tensor_ [6]
                0.01   15.15 1260000/1260000     potekhin2019_ [7]
                0.06    0.13 2520000/2520000     en_cond_ [32]
                0.02    0.00 3780000/3780000     shear_ [59]
-----------------------------------------------
                0.01   15.15 1260000/1260000     tensor_ [6]
[7]     39.2    0.01   15.15 1260000         potekhin2019_ [7]
                0.00   14.92  290000/290000      condconv_ [8]
                0.05    0.10  970000/970000      condegin_ [33]
                0.04    0.03  970000/970000      condin_ [41]
-----------------------------------------------
                0.00   14.92  290000/290000      potekhin2019_ [7]
[8]     38.6    0.00   14.92  290000         condconv_ [8]
                0.01   14.91  290000/290000      conduct_ [9]
-----------------------------------------------
                0.01   14.91  290000/290000      condconv_ [8]
[9]     38.6    0.01   14.91  290000         conduct_ [9]
                1.22   13.28  290000/290000      thav18_ [10]
                0.00    0.39  290000/290000      chempot_ [25]
                0.01    0.00  216080/216080      chemfit_ [79]
                0.01    0.00  290000/290298      taueesy_ [78]
-----------------------------------------------
                1.22   13.28  290000/290000      conduct_ [9]
[10]    37.5    1.22   13.28  290000         thav18_ [10]
                1.82   11.46 120576734/120576734     thavi18_ [11]
-----------------------------------------------
                1.82   11.46 120576734/120576734     thav18_ [10]
[11]    34.4    1.82   11.46 120576734         thavi18_ [11]
                4.23    3.48 120090018/120090018     coul19_ [13]
                0.28    3.48 120090018/120090018     coul18i_ [16]
-----------------------------------------------
               12.65    0.00 1898800/1898800     __math_MOD_getugam [4]
[12]    32.7   12.65    0.00 1898800         __math_MOD_lubksb [12]
-----------------------------------------------
                4.23    3.48 120090018/120090018     thavi18_ [11]
[13]    19.9    4.23    3.48 120090018         coul19_ [13]
                1.98    1.50 120090018/240180036     coulan3_ [14]
-----------------------------------------------
                1.98    1.50 120090018/240180036     coul18i_ [16]
                1.98    1.50 120090018/240180036     coul19_ [13]
[14]    18.0    3.95    3.00 240180036         coulan3_ [14]
                3.00    0.00 240151286/247911262     expint_ [17]
-----------------------------------------------
                5.12    0.00   18800/18800       __math_MOD_getugam [4]
[15]    13.3    5.12    0.00   18800         __math_MOD_ludcmp [15]
-----------------------------------------------
                0.28    3.48 120090018/120090018     thavi18_ [11]
[16]     9.7    0.28    3.48 120090018         coul18i_ [16]
                1.98    1.50 120090018/240180036     coulan3_ [14]
-----------------------------------------------
                0.02    0.00 1940000/247911262     condin_ [41]
                0.07    0.00 5819976/247911262     coulan2_ [36]
                3.00    0.00 240151286/247911262     coulan3_ [14]
[17]     8.0    3.10    0.00 247911262         expint_ [17]
-----------------------------------------------
                0.98    2.10    1001/1001        MAIN__ [1]
[18]     8.0    0.98    2.10    1001         bevol_ [18]
                0.94    0.00    5005/5006        curl_phi_ [19]
                0.77    0.00    1001/1001        surface_transition_ [20]
                0.19    0.00    3003/3003        curl_pol_ [31]
                0.00    0.13    1001/1002        boundary_ [35]
                0.06    0.00    1001/1002        bmodulus_ [49]
                0.01    0.00      11/11          bwrite_ [81]
-----------------------------------------------
                0.00    0.00       1/5006        binit_ [88]
                0.94    0.00    5005/5006        bevol_ [18]
[19]     2.4    0.94    0.00    5006         curl_phi_ [19]
-----------------------------------------------
                0.77    0.00    1001/1001        bevol_ [18]
[20]     2.0    0.77    0.00    1001         surface_transition_ [20]
-----------------------------------------------
                0.01    0.65     100/100         MAIN__ [1]
[21]     1.7    0.01    0.65     100         emiss_ [21]
                0.03    0.62 3760000/3760000     q3_ [22]
-----------------------------------------------
                0.03    0.62 3760000/3760000     emiss_ [21]
[22]     1.7    0.03    0.62 3760000         q3_ [22]
                0.14    0.01 3760000/3760000     qsynchro_ [34]
                0.13    0.00 3760000/8141200     eff_mass_ [29]
                0.08    0.01 3760000/3760000     qplasma_ [39]
                0.05    0.03 3760000/3760000     qmurca_ [40]
                0.06    0.01 3760000/3760000     qcpbf_co_ [42]
                0.03    0.00 3760000/3760000     qbpp_ [54]
                0.03    0.00 3760000/3760000     qpair_ [55]
                0.01    0.00 3760000/3760000     qbnp_ [65]
                0.01    0.00 3760000/3760000     qcpbf_cr_ [66]
                0.01    0.00 3760000/3760000     qbnn_ [67]
                0.00    0.00 3760000/3760000     qdurca_ [84]
                0.00    0.00 3760000/3760000     qepbrems_ [92]
                0.00    0.00 3760000/3760000     qeabrems_ [91]
-----------------------------------------------
                0.04    0.45 1861200/1861200     cvtot_ [24]
[23]     1.3    0.04    0.45 1861200         cvf_ [23]
                0.02    0.32  623700/623700      eosmag_ [27]
                0.06    0.00 1861200/8141200     eff_mass_ [29]
                0.00    0.02 1237500/1237500     ccvfp_ [63]
                0.01    0.01 1861200/1861200     ccvfn_ [64]
                0.01    0.00 1237500/1237500     ccvfe_ [73]
-----------------------------------------------
                0.00    0.49     100/100         MAIN__ [1]
[24]     1.3    0.00    0.49     100         cvtot_ [24]
                0.04    0.45 1861200/1861200     cvf_ [23]
-----------------------------------------------
                0.00    0.39  290000/290000      conduct_ [9]
[25]     1.0    0.00    0.39  290000         chempot_ [25]
                0.07    0.32   75070/75070       denrfit_ [26]
-----------------------------------------------
                0.07    0.32   75070/75070       chempot_ [25]
[26]     1.0    0.07    0.32   75070         denrfit_ [26]
                0.32    0.00 12433144/12433144     fitfermi_ [28]
-----------------------------------------------
                0.02    0.32  623700/623700      cvf_ [23]
[27]     0.9    0.02    0.32  623700         eosmag_ [27]
                0.02    0.21  623700/623700      eosfim12_ [30]
                0.00    0.09  623700/623700      chemag8_ [37]
                0.00    0.00  577338/623700      spinion_ [97]
                0.00    0.00   46362/46362       magnion_ [108]
-----------------------------------------------
                0.32    0.00 12433144/12433144     denrfit_ [26]
[28]     0.8    0.32    0.00 12433144         fitfermi_ [28]
-----------------------------------------------
                0.06    0.00 1861200/8141200     cvf_ [23]
                0.09    0.00 2520000/8141200     en_cond_ [32]
                0.13    0.00 3760000/8141200     q3_ [22]
[29]     0.7    0.28    0.00 8141200         eff_mass_ [29]
-----------------------------------------------
                0.02    0.21  623700/623700      eosmag_ [27]
[30]     0.6    0.02    0.21  623700         eosfim12_ [30]
                0.09    0.00  623700/623700      excorm_ [38]
                0.06    0.00  577338/577338      fscrsol8_ [47]
                0.00    0.05  577338/577338      fharmag_ [51]
                0.01    0.00  577338/577338      anharm8_ [76]
                0.00    0.00   46362/46362       fscrliq8_ [107]
                0.00    0.00   46362/46362       fition9_ [106]
                0.00    0.00   46362/46362       qdmag_ [109]
-----------------------------------------------
                0.19    0.00    3003/3003        bevol_ [18]
[31]     0.5    0.19    0.00    3003         curl_pol_ [31]
-----------------------------------------------
                0.06    0.13 2520000/2520000     tensor_ [6]
[32]     0.5    0.06    0.13 2520000         en_cond_ [32]
                0.09    0.00 2520000/8141200     eff_mass_ [29]
                0.02    0.00 3850000/3850000     rfun_ [58]
                0.01    0.00 3850000/3850000     zfun_ [69]
                0.01    0.00 1330000/1330000     rcfun_ [72]
